QC_configuration,RMSE_mean_kg,RMSE_SD_kg,R2_mean,R2_SD,n_folds
QC-REF,2.2275977996672585,0.30959983202537467,0.9022557353307444,0.19244393360072629,10
QC-STRICT,2.3589577109252966,0.3227754822148171,0.912699897647132,0.1422799452674596,10
QC-RELAXED,2.340589542425918,0.24242913903106997,0.9046632498198326,0.1663868782630692,10
QC-ROBUST,2.3437693180644836,0.2935155309738559,0.9143922589441982,0.14170915809920545,10
